Company,Url,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Gimlet Media,https://angel.co/company/gimlet-media,,Aug ’15,San Francisco,Bridging Online and Offline,circlemedical.com,11-50,-,-
SigOpt,https://angel.co/company/sigopt,,,,,,,,
TourBook,https://angel.co/company/tourbook,New York City,Social Media Platforms,fueled.com,,-,-,,Jan ’16
Staffly,https://angel.co/company/staffly,,,,,,,,
CStorePro,https://angel.co/company/cstorepro,-,-,,"$8,700,000",,Sep ’16,San Francisco,Training
Even,https://angel.co/company/even,,,,,,,,
Vrideo,https://angel.co/company/vrideo,Seed,"$2,200,000",,Feb ’16,San Francisco,Mobile Advertising,angel.co,
Vinsight,https://angel.co/company/vinsight,,,,,,,,
KINETIC,https://angel.co/company/kinetic,,Jun ’11,San Francisco,Mobile Commerce,getsimpleprints.com,11-50,,"$1,000,000"
Xendit,https://angel.co/company/xendit,,,,,,,,
Revolar,https://angel.co/company/revolar,London,Networking,lightbox.com,-,Acquired,"$1,200,000",,Sep ’12
Josephine,https://angel.co/company/josephine,,,,,,,,
Sherpaa,https://angel.co/company/sherpaa,booyah.com,-,Series C,"$29,500,000",,Nov ’12,Bengaluru,Real Estate
SlideMail,https://angel.co/company/slidemail,,,,,,,,
Wrapify,https://angel.co/company/wrapify,Acquired,"$257,900,000",,Sep ’12,San Francisco,SaaS,brightbytes.net,11-50
Hack Fund V,https://angel.co/company/hackfund5,,,,,,,,
The Sails Company,https://angel.co/company/treeline,,Oct ’12,San Francisco,Big Data,trifacta.com,51-200,Series D,"$76,300,000"
Local Bushel,https://angel.co/company/localbushel,,,,,,,,
Volara,https://angel.co/company/volara,Boulder,Interpretation,ChatLingual.com,11-50,-,-,,Dec ’12
Parse.ly,https://angel.co/company/parse-ly,,,,,,,,
MURAL,https://angel.co/company/mural,kidaptive.com,11-50,Series C,"$24,650,000",,Apr ’13,San Francisco,Google Apps
CryptoSeal,https://angel.co/company/cryptoseal,,,,,,,,
Flotype,https://angel.co/company/flotype,Series C,"$87,000,000",,May ’13,-,-,qedinvestors.com,-
Chef,https://angel.co/company/chef-2,,,,,,,,
Venmo,https://angel.co/company/venmo,,Nov ’13,Los Angeles,Logistics,cargomatic.com,11-50,,"$11,500,000"
SurveyMonkey,https://angel.co/company/surveymonkey,,,,,,,,
Machinima,https://angel.co/company/machinima,New York City,-,giphy.com,11-50,,"$146,400,000",,Mar ’14
Mendix,https://angel.co/company/mendix,,,,,,,,
Nest,https://angel.co/company/nest,ridechariot.com,501-1000,Acquired,"$3,000,000",,Jun ’14,Los Angeles,Car
Metail,https://angel.co/company/metail,,,,,,,,
Couple,https://angel.co/company/couple,,"$31,800,000",,Sep ’14,New York City,B2B Express Delivery,homerlogistics.com,11-50
Tradesy,https://angel.co/company/tradesy,,,,,,,,
SMITH,https://angel.co/company/smith-7,,Feb ’15,New York City,SaaS,nestio.com,11-50,Series A,"$11,850,000"
SimpleLegal,https://angel.co/company/simplelegal,,,,,,,,
SFOX,https://angel.co/company/sfox,Atlanta,Nonprofits,newstorycharity.org,11-50,-,-,,Oct ’15
Freebird,https://angel.co/company/getfreebird,,,,,,,,
Hoodline,https://angel.co/company/hoodline,source.com,1-10,-,-,,Jan ’16,London,Legal Tech
Neuronetics,https://angel.co/company/neuronetics-1,,,,,,,,
Betagig,https://angel.co/company/betagig,Seed,"$2,750,000",,Feb ’16,-,-,,
Fieldlens,https://angel.co/company/fieldlens,,,,,,,,
Fisker Automotive,https://angel.co/company/fisker-automotive,,Mar ’11,New York City,K-12 Education,caredox.com,51-200,Seed,"$6,050,000"
Index Ventures,https://angel.co/company/index-ventures,,,,,,,,
Meograph,https://angel.co/company/meograph,San Francisco,Subscription Businesses,culturekitchensf.com,-,Seed,-,,Oct ’11
Handle,https://angel.co/company/handle,,,,,,,,
CloudTags,https://angel.co/company/cloudtags,shareaholic.com,1-10,Series A,"$7,755,000",,Nov ’11,San Francisco,Consumer Lending
Globespan Capital Partners,https://angel.co/company/globespan,,,,,,,,
Hightower,https://angel.co/company/hightower,Series D,"$1,712,200,000",,Jan ’12,New York City,News,iac.com,-
Founders Fund,https://angel.co/company/founders-fund,,,,,,,,
